"Species","average","sd","ratio","ava","avb","cumsum","p"
"sml_Snapper",0.023842067179736,0.026499314796402,0.899723912218787,0.171024177546957,0.125634071031172,0.109713891263658,0.922
"Rabbitfish",0.0170757604271896,0.0115919381677233,1.47307207648291,0.503839696368632,0.479491896946764,0.18829131110858,0.384
"Parrotfish",0.0167786458393626,0.0114906795184413,1.46019613656744,0.406922434406628,0.487156591610973,0.26550150061496,0.052
"Barracuda",0.0158512515536481,0.0337364399173038,0.469855491347141,0.00373285078157442,0.0956775594788908,0.338444105643266,0.046
"Squirrel.Soldier",0.0153258001611952,0.0105827333147692,1.44818920645072,0.145728819912031,0.123869516668117,0.408968744288821,0.531
"Butterflyfish",0.0143183534707079,0.00997014688519665,1.43612262041669,0.436402859049713,0.371756518471312,0.474857421806475,0.182
"lrg_Grouper",0.0136078946922621,0.0076172026032133,1.78646878665425,0.139063856085498,0.0899447818448387,0.537476785611601,0.015
"Red_Breast",0.0116418860345889,0.00881350528193822,1.32091439922852,0.210230524138554,0.195052229257223,0.59104917968607,0.789
"sml_Grouper",0.0114307543448947,0.00732400521520363,1.56072449554869,0.352332668733548,0.332485286548031,0.643650010385987,0.664
"Slingjaw",0.0103298964883156,0.0077685395979317,1.32970893153018,0.128534614052089,0.10417054279217,0.691185030379856,0.698
"Emperorfish",0.00901898006137904,0.00639192512128422,1.41099588781901,0.0653162345591377,0.0663617285597946,0.732687614459656,0.721
"Cleaner_Wrasse",0.00882100697648145,0.00608884779409268,1.44871530292471,0.159784984456169,0.213564924232809,0.77327918703421,0.004
"Trevally",0.00751993434286929,0.00731385752967447,1.0281762137639,0.0511292479565758,0.0725702996609549,0.807883621816804,0.487
"Angelfish",0.00750553324961673,0.00556472036456422,1.34877096384061,0.0509658434802282,0.0625349076634842,0.842421787178745,0.568
"Thicklip",0.00597265425369115,0.004188165005781,1.4260790215875,0.124944586546816,0.141640589232482,0.869906112862628,0.292
"Triggerfish",0.00565625485631193,0.00549579373206258,1.02919707908854,0.0419636260720941,0.0413388910024777,0.895934465420597,0.569
"Sweetlips",0.00561152722259103,0.00568786543747012,0.986578758636554,0.027511375419869,0.0362853100190696,0.921756995106516,0.225
"Batfish",0.00485816306742729,0.00604620854751634,0.803505705972205,0.0230616085165021,0.0176915240489127,0.944112773676499,0.753
"Porcupine.Puffer",0.00433752507165803,0.00347787894963495,1.24717540043,0.00722761602867462,0.0285954345685694,0.964072735641112,0.021
"lrg_Snapper",0.00327076645026254,0.00333100471722176,0.981915886624903,0.014722625762865,0.0122701930136525,0.979123801136721,0.569
"Ray",0.00206986479073316,0.00227319038871592,0.910554963195311,0.0105740521593244,0.00686598638538418,0.988648684984628,0.977
"Eel",0.00147014151889194,0.00223894029311633,0.656623815923953,0.00498873783912885,0.0056814284406847,0.995413826007424,0.642
"Surgeonfish",0.000996627383912415,0.0015948023422736,0.624922197249591,0,0.00609368731118031,1,0.03
