DU,survey_code,path,transect,Site,Date_raw,Depth,Time_raw,Duration,Vis,Weather,Current,Boats,Researcher,Type,TransectOrder,Date,Time,Species,Count,Functional_Group,survey_pair,survey_id
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Parrotfish,8,Grazer,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Rabbitfish,22,Grazer,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Butterflyfish,19,Grazer,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Angelfish,0,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Cleaner_Wrasse,3,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Batfish,0,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Thicklip,2,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Red_Breast,4,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Slingjaw,2,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Sweetlips,0,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Squirrel.Soldier,0,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
D,AL2508_1,DEEP,A,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,Dived,A,2025-08-04,13:05,Triggerfish,0,Invertivore,AL2508_1_DEEP_2025-08-04,AL2508_1_DEEP_2025-08-04_A
