Site,lag1_cor,n
Aow Leuk,-0.01098216832545329,12
Aow Mao,-0.8226777054528203,4
Buddha Rock S 010,0.5721722395321082,8
Buddha Wall 010,-0.07429094515886474,4
Grapeview,NA,2
Grapeview 003,-0.6047593008168672,10
Hin Wong Bay,-0.12227547498152788,12
Hin Wong N 005,-0.569605840407482,12
Japanese Garden,-0.9986745165704312,4
Japanese Gardens,-0.03361815233056125,8
Laem Thian S 007,-0.9984481171182927,4
Lang Kai S 008,-0.34573359022680034,12
Lighthouse,-0.04606343304205219,16
Lighthouse N 004,-0.2826294259871313,12
Mango Bay,0.00965393160528383,12
N Sai Nuan 0012,-0.9970314059524692,4
N Sai Nuan 012,-0.9699910188727877,8
Nang Yuan S 001,-0.6737450415590287,4
S Nangyuan 001,-0.36053772987379523,8
Shark Island,NA,2
Tanote,-0.6050443684924068,6
Tanote Bay,NA,2
Tao Tong,0.30334258407900766,12
