Species,final_model,AIC,interaction_est,interaction_SE,interaction_z,interaction_p,sci_name,label,ci_low,ci_high
lrg_Snapper,m_nb_boats,108.51292221420888,-1.0986257177681809,0.8897575892897946,-1.2347472288998456,0.21692459270875744,Lutjanus (>30cm) spp.,Lutjanus (>30cm) spp.,-2.8425505927761785,0.6452991572398166
Triggerfish,m_nb_boats,292.7987544329425,-0.3887632457125823,0.45556384676738726,-0.853367203019265,0.3934557031625388,Balistidae spp.,Balistidae spp.,-1.2816683853766613,0.5041418939514968
Emperorfish,m_nb_boats,440.00337753739495,-0.23729063901140207,0.35860662454262365,-0.6617017722805562,0.5081623686779713,Lethrinus spp.,Lethrinus spp.,-0.9401596231149445,0.4655783450921403
Cleaner_Wrasse,m_nb,957.3618899035376,-0.1983595903831016,0.15718871332290424,-1.2619200589524662,0.20697755330969195,Labroides dimidiatus,Labroides dimidiatus,-0.5064494684959939,0.10973028772979068
Squirrel.Soldier,m_nb_zi,674.8386862600565,-0.17964875468516306,0.2951802033899523,-0.6086070563744254,0.5427849261518589,Holocentridae spp.,Holocentridae spp.,-0.7582019533294696,0.3989044439591435
lrg_Grouper,m_nb,720.1537160846673,-0.10424853642639237,0.2100459078442769,-0.4963131036272308,0.6196735226339409,Epinephelus (>30cm)/ Plectropomus spp.,Epinephelus (>30cm)/ Plectropomus spp.,-0.5159385158011751,0.3074414429483904
Slingjaw,m_nb,750.0639879872095,-0.033208894485023004,0.23071701417985602,-0.14393777850789508,0.8855496033583348,Epibulus insidiator,Epibulus insidiator,-0.4854142422775408,0.4189964533074948
sml_Snapper,m_nb_boats_zi,601.876888986338,-0.011806291476414238,0.3532209647960274,-0.03342466233065173,0.9733359429519488,Lutjanus (<30cm) spp.,Lutjanus (<30cm) spp.,-0.7041193824766279,0.6805067995237994
sml_Grouper,m_nb,1278.975384831999,0.04754655326306774,0.07166207911782232,0.6634827491523747,0.5070214242792418,Cephalopholis/ Epinephelus spp.,Cephalopholis/ Epinephelus spp.,-0.09291112180786402,0.1880042283339995
Butterflyfish,m_nb_zi,1352.531164041295,0.06457872028457678,0.07459197087089972,0.865759672664322,0.3866219685066581,Chaetodon spp.,Chaetodon spp.,-0.08162154262238666,0.21077898319154023
Parrotfish,m_nb,1492.1146261810227,0.06717277641833426,0.09950814093727466,0.6750480491910393,0.49964523813611883,Scarus spp.,Scarus spp.,-0.12786317981872408,0.2622087326553926
Rabbitfish,m_nb_zi,1556.6140262510032,0.19131825846124656,0.09092279709449937,2.1041835994376914,0.03536243460181365,Siganus spp.,Siganus spp.,0.013109576156027813,0.3695269407664653
Trevally,m_nb,410.4256617320617,0.22206807525544134,0.5815445882775859,0.38185906933320585,0.7025659016899064,Caranx spp.,Caranx spp.,-0.917759317768627,1.3618954682795097
Red_Breast,m_nb,1002.1177732144582,0.3603457005110418,0.12903555558496396,2.79260781168002,0.005228504094466513,Cheilinus fasciatus,Cheilinus fasciatus,0.10743601156451243,0.6132553894575712
Thicklip,m_nb,773.9637209230114,0.38146223725209344,0.17827127106572008,2.139785255199457,0.03237212535671726,Hemigymnus melapterus,Hemigymnus melapterus,0.03205054596328211,0.7308739285409047
Porcupine.Puffer,m_nb,NA,0.5108331460951743,1.282361986152413,0.39835331334787405,0.6903697668046267,Diodon/ Tetraodon spp.,Diodon/ Tetraodon spp.,-2.0025963467635552,3.0242626389539033
Sweetlips,m_nb,230.59151155565618,0.9932496855181987,0.5290864868727043,1.8772917285962925,0.06047812126116229,Diagramma/ Plectorhinchus spp.,Diagramma/ Plectorhinchus spp.,-0.04375982875230178,2.0302591997886994
Angelfish,m_nb_zi,377.0565469390881,1.2403783256080951,0.47261973110783445,2.6244742738535525,0.00867828483120001,Pomacanthus spp.,Pomacanthus spp.,0.3140436526367396,2.1667129985794507
