Species,final_model,AIC,interaction_est,interaction_SE,interaction_z,interaction_p
lrg_Snapper,m_nb,106.92862009842233,-1.098614612223515,0.8897562770559377,-1.234736568376518,0.21692856150319081
Porcupine.Puffer,m_nb_zi,109.67855119116874,0.5108284741010202,1.2823606439682844,0.39835008700848284,0.6903721446975947
Sweetlips,m_nb_boats,230.62476446291552,0.9932488308490833,0.5290502403378043,1.877418730997803,0.06046072625234589
Triggerfish,m_nb,292.3365038463444,-0.38876287491195566,0.4555638616542256,-0.8533663611953222,0.3934561698510864
Angelfish,m_nb_zi,377.05654668919453,1.2403789923858795,0.47262226218282477,2.6244616295837178,0.008678607056840383
Trevally,m_nb,410.4256617320615,0.22206807525599082,0.5815445882774699,0.3818590693342269,0.702565901689149
Emperorfish,m_nb_boats,440.0033775373954,-0.23729063901140116,0.35860662454273107,-0.6617017722803554,0.5081623686780998
sml_Snapper,m_nb_boats_zi,601.8768889863364,-0.011806291476338281,0.3532209647957751,-0.03342466233046057,0.9733359429521012
Squirrel.Soldier,m_nb_zi,674.8386862600566,-0.17964875468516292,0.29518020339000567,-0.6086070563743149,0.5427849261519322
lrg_Grouper,m_nb,720.1537160846675,-0.10424853642638886,0.21004590784431773,-0.4963131036271176,0.6196735226340208
Slingjaw,m_nb,750.0639879872095,-0.03320889448502305,0.2307170141798432,-0.1439377785079033,0.8855496033583283
Thicklip,m_nb,773.9637209230119,0.3814622372521062,0.17827127106334772,2.139785255228004,0.03237212535440918
Cleaner_Wrasse,m_nb,957.361889903537,-0.1983595903830645,0.15718871332289072,-1.2619200589523385,0.20697755330973788
Red_Breast,m_nb,1002.1177732144582,0.3603457005110279,0.12903555558497196,2.7926078116797393,0.005228504094471049
sml_Grouper,m_nb,1278.9753848319995,0.04754655326540724,0.07166207915653544,0.663482748826596,0.5070214244878217
Butterflyfish,m_nb_zi,1352.531164041293,0.06457872028457506,0.07459197087089162,0.865759672664393,0.38662196850661906
Parrotfish,m_nb,1492.1146261810231,0.0671727764183314,0.09950814093726297,0.6750480491910898,0.49964523813608686
Rabbitfish,m_nb_zi,1556.6140262510035,0.19131825846128234,0.09092279709449155,2.104183599438266,0.035362434601763554
