Type,Site,Date,TransectOrder,survey_pair,Total
Dived,Aow Leuk,2025-08-04,A,AL2508_1_DEEP_2025-08-04,308
Dived,Aow Leuk,2025-08-04,A,AL2508_2_DEEP_2025-08-04,199
Dived,Aow Leuk,2025-08-04,A,AL2508_3_SHALLOW_2025-08-04,249
Dived,Aow Leuk,2025-08-04,B,AL2508_1_DEEP_2025-08-04,163
Dived,Aow Leuk,2025-08-04,B,AL2508_2_DEEP_2025-08-04,185
Dived,Aow Leuk,2025-08-04,B,AL2508_3_SHALLOW_2025-08-04,211
Dived,Aow Leuk,2025-08-07,A,AL2508_4_SHALLOW_2025-08-07,373
Dived,Aow Leuk,2025-08-07,B,AL2508_4_SHALLOW_2025-08-07,331
Dived,Aow Leuk,2025-10-22,A,AL2510_5_SHALLOW_2025-10-22,194
Dived,Aow Leuk,2025-10-22,A,AL2510_6_DEEP_2025-10-22,290
Dived,Aow Leuk,2025-10-22,B,AL2510_5_SHALLOW_2025-10-22,180
Dived,Aow Leuk,2025-10-22,B,AL2510_6_DEEP_2025-10-22,237
Dived,Aow Mao,2025-08-13,A,AM2508_2_SHALLOW_2025-08-13,187
Dived,Aow Mao,2025-08-13,A,AM2508_3_DEEP_2025-08-13,117
Dived,Aow Mao,2025-08-13,B,AM2508_2_SHALLOW_2025-08-13,165
Dived,Aow Mao,2025-08-13,B,AM2508_3_DEEP_2025-08-13,66
Dived,Hin Wong Bay,2025-10-09,A,HW2510_1_SHALLOW_2025-10-09,116
Dived,Hin Wong Bay,2025-10-09,A,HW2510_2_DEEP_2025-10-09,166
Dived,Hin Wong Bay,2025-10-09,B,HW2510_1_SHALLOW_2025-10-09,125
Dived,Hin Wong Bay,2025-10-09,B,HW2510_2_DEEP_2025-10-09,146
Dived,Hin Wong Bay,2025-10-22,A,HW2510_3_DEEP_2025-10-22,145
Dived,Hin Wong Bay,2025-10-22,A,HW2510_4_SHALLOW_2025-10-22,177
Dived,Hin Wong Bay,2025-10-22,A,HW2510_5_SHALLOW_2025-10-22,163
Dived,Hin Wong Bay,2025-10-22,A,HW2510_6_DEEP_2025-10-22,83
Dived,Hin Wong Bay,2025-10-22,B,HW2510_3_DEEP_2025-10-22,104
Dived,Hin Wong Bay,2025-10-22,B,HW2510_4_SHALLOW_2025-10-22,155
Dived,Hin Wong Bay,2025-10-22,B,HW2510_5_SHALLOW_2025-10-22,142
Dived,Hin Wong Bay,2025-10-22,B,HW2510_6_DEEP_2025-10-22,74
Dived,Japanese Garden,2025-10-21,A,JA2510_1_SHALLOW_2025-10-21,182
Dived,Japanese Garden,2025-10-21,A,JA2510_2_DEEP_2025-10-21,316
Dived,Japanese Garden,2025-10-21,B,JA2510_1_SHALLOW_2025-10-21,184
Dived,Japanese Garden,2025-10-21,B,JA2510_2_DEEP_2025-10-21,322
Dived,Japanese Gardens,2025-08-11,A,JA2508_1_SHALLOW_2025-08-11,179
Dived,Japanese Gardens,2025-08-11,A,JA2508_2_SHALLOW_2025-08-11,144
Dived,Japanese Gardens,2025-08-11,A,JA2508_3_DEEP_2025-08-11,259
Dived,Japanese Gardens,2025-08-11,A,JA2508_4_DEEP_2025-08-11,129
Dived,Japanese Gardens,2025-08-11,B,JA2508_1_SHALLOW_2025-08-11,113
Dived,Japanese Gardens,2025-08-11,B,JA2508_2_SHALLOW_2025-08-11,111
Dived,Japanese Gardens,2025-08-11,B,JA2508_3_DEEP_2025-08-11,190
Dived,Japanese Gardens,2025-08-11,B,JA2508_4_DEEP_2025-08-11,95
Dived,Lighthouse,2025-10-02,A,LB2510_1_SHALLOW_2025-10-02,160
Dived,Lighthouse,2025-10-02,A,LB2510_2_DEEP_2025-10-02,215
Dived,Lighthouse,2025-10-02,A,LB2510_3_SHALLOW_2025-10-02,151
Dived,Lighthouse,2025-10-02,A,LB2510_4_DEEP_2025-10-02,74
Dived,Lighthouse,2025-10-02,B,LB2510_1_SHALLOW_2025-10-02,96
Dived,Lighthouse,2025-10-02,B,LB2510_2_DEEP_2025-10-02,203
Dived,Lighthouse,2025-10-02,B,LB2510_3_SHALLOW_2025-10-02,109
Dived,Lighthouse,2025-10-02,B,LB2510_4_DEEP_2025-10-02,86
Dived,Lighthouse,2025-10-09,A,LB2510_5_DEEP_2025-10-09,134
Dived,Lighthouse,2025-10-09,A,LB2510_6_SHALLOW_2025-10-09,139
Dived,Lighthouse,2025-10-09,B,LB2510_5_DEEP_2025-10-09,117
Dived,Lighthouse,2025-10-09,B,LB2510_6_SHALLOW_2025-10-09,98
Dived,Lighthouse,2025-10-20,A,LB2510_4_SHALLOW_2025-10-20,138
Dived,Lighthouse,2025-10-20,A,LB2510_5_DEEP_2025-10-20,144
Dived,Lighthouse,2025-10-20,B,LB2510_4_SHALLOW_2025-10-20,127
Dived,Lighthouse,2025-10-20,B,LB2510_5_DEEP_2025-10-20,134
Dived,Mango Bay,2025-08-05,A,MA2508_1_DEEP_2025-08-05,170
Dived,Mango Bay,2025-08-05,B,MA2508_1_DEEP_2025-08-05,187
Dived,Mango Bay,2025-10-02,A,MB2510_2_SHALLOW_2025-10-02,328
Dived,Mango Bay,2025-10-02,A,MB2510_3_DEEP_2025-10-02,235
Dived,Mango Bay,2025-10-02,A,MB2510_4_SHALLOW_2025-10-02,201
Dived,Mango Bay,2025-10-02,B,MB2510_2_SHALLOW_2025-10-02,190
Dived,Mango Bay,2025-10-02,B,MB2510_3_DEEP_2025-10-02,277
Dived,Mango Bay,2025-10-02,B,MB2510_4_SHALLOW_2025-10-02,187
Dived,Mango Bay,2025-10-21,A,MB2510_5_SHALLOW_2025-10-21,241
Dived,Mango Bay,2025-10-21,A,MB2510_6_DEEP_2025-10-21,459
Dived,Mango Bay,2025-10-21,B,MB2510_5_SHALLOW_2025-10-21,242
Dived,Mango Bay,2025-10-21,B,MB2510_6_DEEP_2025-10-21,365
Dived,Shark Island,2025-08-07,A,SI2508_1_DEEP_2025-08-07,504
Dived,Shark Island,2025-08-07,B,SI2508_1_DEEP_2025-08-07,558
Dived,Tanote,2025-09-30,A,TB2510_2_SHALLOW_2025-09-30,85
