Site,n_transects,n_pairs,n_days,first_date,last_date,days_span,mean_total,median_total,sd_total
Aow Leuk,12,6,3,2025-08-04,2025-10-22,79,243.33333333333331,224,67.58339405146172
Aow Mao,4,2,1,2025-08-13,2025-08-13,0,133.75,141,53.79823417176441
Buddha Rock S 010,12,6,3,2025-08-14,2025-08-28,14,210.75,194,95.07807796275075
Grapeview,12,6,3,2025-08-13,2025-08-22,9,123.58333333333334,134,60.337623319772774
Hin Wong Bay,12,6,2,2025-10-09,2025-10-22,13,133,143.5,32.99862256078413
Hin Wong N 005,12,6,3,2025-08-12,2025-08-25,13,161.5,176.5,84.2987113025622
Japanese Gardens,12,6,2,2025-08-11,2025-10-21,71,185.33333333333331,180.5,76.90174762564754
Lang Kai S 008,12,6,3,2025-08-14,2025-08-25,11,209.58333333333334,225.5,33.502939717239286
Lighthouse,16,8,3,2025-10-02,2025-10-20,18,132.8125,134,38.307908234897575
Lighthouse N 004,12,6,3,2025-08-13,2025-08-27,14,215.75,155,229.34219173342464
Mango Bay,12,6,3,2025-08-05,2025-10-21,77,256.8333333333333,238,87.31742857719377
N Sai Nuan 012,12,6,3,2025-08-18,2025-08-28,10,71.25,42.5,77.48797560677633
Nang Yuan S 001,12,6,3,2025-08-18,2025-08-27,9,101.33333333333334,83.5,54.48157876055378
Shark Island,2,1,1,2025-08-07,2025-08-07,0,531,531,38.18376618407357
Tanote Bay,8,4,3,2025-08-06,2025-09-30,55,110.75,92.5,54.99025887762824
Tao Tong,12,6,3,2025-10-13,2025-10-15,2,422.25,458,291.62807103943516
