Site,Type,n_transects,n_pairs,mean_total,median_total
Aow Leuk,Dived,12,6,243.33333333333331,224
Aow Mao,Dived,4,2,133.75,141
Buddha Rock S 010,Undived,12,6,210.75,194
Grapeview,Undived,12,6,123.58333333333334,134
Hin Wong Bay,Dived,12,6,133,143.5
Hin Wong N 005,Undived,12,6,161.5,176.5
Japanese Gardens,Dived,12,6,185.33333333333331,180.5
Lang Kai S 008,Undived,12,6,209.58333333333334,225.5
Lighthouse,Dived,16,8,132.8125,134
Lighthouse N 004,Undived,12,6,215.75,155
Mango Bay,Dived,12,6,256.8333333333333,238
N Sai Nuan 012,Undived,12,6,71.25,42.5
Nang Yuan S 001,Undived,12,6,101.33333333333334,83.5
Shark Island,Dived,2,1,531,531
Tanote Bay,Dived,8,4,110.75,92.5
Tao Tong,Dived,12,6,422.25,458
